Year,Avg_Bread_Price,Bread_Consumption_lb_per_capita,Avg_Egg_Price,Egg_Consumption_lb_per_capita,Avg_Milk_Price,Milk_Consumption_lb_per_capita,Median_HH_Income
1995,0.79125,139.9666974,0.9245,30.38871207,2.483666667,206.6712233,606
1996,0.875666667,146.3839276,1.106333333,30.5355067,2.623166667,205.765533,537
1997,0.87225,146.7695632,1.058333333,30.65445524,2.614,202.2395258,502
1998,0.860166667,142.9972617,1.037416667,31.85760137,2.70375,198.8479413,666
1999,0.887083333,143.96413,0.95925,33.11024207,2.84275,197.946531,539
2000,0.930166667,146.3319582,0.9135,32.73512297,2.780666667,196.4674029,362
2001,0.999083333,141.0988714,0.929333333,32.81225273,2.88425,192.6532911,346
2002,1.015583333,136.855328,1.032,33.156342,2.75725,191.3188019,368
2003,1.00075,136.821548,1.244416667,33.65184138,2.761083333,188.6755617,488
2004,0.969416667,134.6361871,1.3395,33.44418244,3.155916667,185.8399313,496
2005,1.040333333,134.3773916,1.218166667,33.29179005,3.186833333,184.9167112,381
2006,1.0805,135.8192231,1.30625,33.75504864,3.081333333,185.2155299,495
2007,1.207333333,138.2699125,1.67625,32.92596543,3.50325,183.4581844,326
2008,1.366416667,136.598284,1.9865,32.11229847,3.795333333,181.6625149,308
2009,1.387416667,134.657739,1.664,32.25740971,3.109,180.9241529,481
2010,1.373333333,134.8149042,1.659666667,32.18937239,3.2585,177.7353676,724
2011,1.444666667,132.4649769,1.7695,32.28324784,3.571583333,173.4376755,542
2012,1.417666667,134.32963,1.837666667,33.25142915,3.4925,169.4580895,443
2013,1.406666667,135.0221677,1.9095,34.14854472,3.461916667,164.6339706,1370
2014,1.40125,134.6734901,2.0185,35.14695497,3.693666667,158.5295011,810
2015,1.441,133.0413574,2.469416667,33.94018414,3.41875,155.1252194,663
2016,1.37125,131.6619736,1.684166667,36.00795224,3.20425,153.103051,893
2017,1.332583333,131.7857295,1.467083333,36.88715605,3.2255,148.8063135,647
2018,1.286,132.0652126,1.741666667,37.61698422,2.895833333,144.8592305,829
2019,1.297666667,131.0350628,1.395833333,38.26081488,3.035666667,141.6819022,1069
